obstacle_rank,layer,indicator,unit,direction,current_value,ideal_value,weight,normalized_weight,normalized_score,deviation,obstacle_degree
1,恢复能力,积水消退半衰期,min,negative,45.0,20,0.15,0.15,0.4444444444444444,0.5555555555555556,0.19437749219713213
2,适应能力,绿色调蓄容积,m³,positive,1200.0,3500,0.11,0.11,0.34285714285714286,0.6571428571428571,0.1686085903744266
3,恢复能力,应急响应时间,min,negative,12.0,5,0.12,0.12,0.4166666666666667,0.5833333333333333,0.16327709344559097
4,适应能力,疏散点位密度,个 /km²,positive,2.1,5,0.08,0.08,0.42000000000000004,0.58,0.10822938765536316
5,抵御能力,排水能力达标率,%,positive,68.0,100,0.13,0.13,0.68,0.31999999999999995,0.09703324410480835
6,恢复能力,抢修覆盖效率,%,positive,65.0,100,0.1,0.1,0.65,0.35,0.08163854672279548
7,抵御能力,路网连通度,%,positive,72.0,100,0.12,0.12,0.72,0.28,0.07837300485388368
8,抵御能力,低洼路段占比,%,negative,24.0,0,0.1,0.1,0.76,0.24,0.05598071775277405
9,适应能力,预警覆盖率,%,positive,75.0,100,0.09,0.09,0.75,0.25,0.052481922893225674
