layer,indicator,scenario,weight_factor,original_weight,adjusted_weight,base_score,adjusted_score,score_delta,abs_score_delta
适应能力,绿色调蓄容积,weight_down_10pct,0.9,0.11,0.10010111223458039,0.5712809523809523,0.5738215609803072,0.002540608599354899,0.002540608599354899
适应能力,绿色调蓄容积,weight_up_10pct,1.1,0.11,0.11968348170128586,0.5712809523809523,0.5687956290330176,-0.0024853233479347203,0.0024853233479347203
恢复能力,积水消退半衰期,weight_down_10pct,0.9,0.15,0.1370558375634518,0.5712809523809523,0.5732124728063815,0.0019315204254292118,0.0019315204254292118
抵御能力,低洼路段占比,weight_down_10pct,0.9,0.1,0.09090909090909093,0.5712809523809523,0.5693746993746994,-0.0019062530062529115,0.0019062530062529115
恢复能力,应急响应时间,weight_down_10pct,0.9,0.12,0.10931174089068826,0.5712809523809523,0.5731588586851745,0.0018779063042221322,0.0018779063042221322
恢复能力,积水消退半衰期,weight_up_10pct,1.1,0.15,0.1625615763546798,0.5712809523809523,0.5694065212291812,-0.0018744311517711054,0.0018744311517711054
抵御能力,低洼路段占比,weight_up_10pct,1.1,0.1,0.10891089108910892,0.5712809523809523,0.5731494578029233,0.001868505421970923,0.001868505421970923
恢复能力,应急响应时间,weight_up_10pct,1.1,0.12,0.13043478260869565,0.5712809523809523,0.5694475814041031,-0.0018333709768492135,0.0018333709768492135
抵御能力,路网连通度,weight_down_10pct,0.9,0.12,0.10931174089068826,0.5712809523809523,0.5694746481588588,-0.001806304222093491,0.001806304222093491
抵御能力,路网连通度,weight_up_10pct,1.1,0.12,0.13043478260869565,0.5712809523809523,0.5730444193487672,0.0017634669678148196,0.0017634669678148196
适应能力,预警覆盖率,weight_down_10pct,0.9,0.09,0.08173562058526741,0.5712809523809523,0.5696578732401135,-0.0016230791408388123,0.0016230791408388123
适应能力,预警覆盖率,weight_up_10pct,1.1,0.09,0.09811694747274528,0.5712809523809523,0.5728750766907358,0.0015941243097834512,0.0015941243097834512
抵御能力,排水能力达标率,weight_down_10pct,0.9,0.13,0.11854103343465046,0.5712809523809523,0.5698489892410866,-0.0014319631398657107,0.0014319631398657107
抵御能力,排水能力达标率,weight_up_10pct,1.1,0.13,0.14116485686080948,0.5712809523809523,0.5726761622714238,0.0013952098904714827,0.0013952098904714827
适应能力,疏散点位密度,weight_down_10pct,0.9,0.08,0.07258064516129033,0.5712809523809523,0.5725009600614439,0.001220007680491575,0.001220007680491575
适应能力,疏散点位密度,weight_up_10pct,1.1,0.08,0.08730158730158731,0.5712809523809523,0.5700803099017384,-0.0012006424792139203,0.0012006424792139203
恢复能力,抢修覆盖效率,weight_down_10pct,0.9,0.1,0.09090909090909093,0.5712809523809523,0.5704858104858106,-0.0007951418951417377,0.0007951418951417377
恢复能力,抢修覆盖效率,weight_up_10pct,1.1,0.1,0.10891089108910892,0.5712809523809523,0.5720603488920322,0.0007793965110798329,0.0007793965110798329
