layer,indicator,unit,current_value,ideal_value,weight,before_score,new_value,after_score,score_improvement
抵御能力,路网连通度,%,72.0,100,0.12,0.72,72.0,0.72,0.0
抵御能力,排水能力达标率,%,68.0,100,0.13,0.68,95.19999999999999,0.9519999999999998,0.2719999999999998
抵御能力,低洼路段占比,%,24.0,0,0.1,0.76,24.0,0.76,0.0
恢复能力,积水消退半衰期,min,45.0,20,0.15,0.4444444444444444,27.540000000000003,0.7262164124909222,0.28177196804647775
恢复能力,应急响应时间,min,12.0,5,0.12,0.4166666666666667,7.199999999999999,0.6944444444444445,0.27777777777777785
恢复能力,抢修覆盖效率,%,65.0,100,0.1,0.65,65.0,0.65,0.0
适应能力,绿色调蓄容积,m³,1200.0,3500,0.11,0.34285714285714286,2300.0,0.6571428571428571,0.3142857142857143
适应能力,预警覆盖率,%,75.0,100,0.09,0.75,100.0,1.0,0.25
适应能力,疏散点位密度,个 /km²,2.1,5,0.08,0.42000000000000004,2.1,0.42000000000000004,0.0
