scheme_id,rain_factor,effect_factor,cost_factor,AnnualCost_wan_per_year,R_new,Delta_R,T_rec_min,TOPSIS_score,RobustScore
S054,0.9,0.8,0.9,141.3,0.7037188296704716,0.13243787728951928,40.803839999999994,0.691632315991982,0.7321760348404535
S054,0.9,0.8,1.0,157.0,0.7037188296704716,0.13243787728951928,40.803839999999994,0.6813580366208234,0.7321760348404535
S054,0.9,0.8,1.1,172.70000000000002,0.7037188296704716,0.13243787728951928,40.803839999999994,0.6707692328554362,0.7321760348404535
S054,0.9,1.0,0.9,141.3,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7959940338360942,0.7321760348404535
S054,0.9,1.0,1.0,157.0,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7825940639491809,0.7321760348404535
S054,0.9,1.0,1.1,172.70000000000002,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7691306522307259,0.7321760348404535
S054,0.9,1.2,0.9,141.3,0.7779160665607391,0.20663511417978675,32.90496000000001,0.8423139097736623,0.7321760348404535
S054,0.9,1.2,1.0,157.0,0.7779160665607391,0.20663511417978675,32.90496000000001,0.826732695139827,0.7321760348404535
S054,0.9,1.2,1.1,172.70000000000002,0.7779160665607391,0.20663511417978675,32.90496000000001,0.8115519517047198,0.7321760348404535
S054,1.0,0.8,0.9,141.3,0.7037188296704716,0.13243787728951928,40.803839999999994,0.691632315991982,0.7321760348404535
S054,1.0,0.8,1.0,157.0,0.7037188296704716,0.13243787728951928,40.803839999999994,0.6813580366208234,0.7321760348404535
S054,1.0,0.8,1.1,172.70000000000002,0.7037188296704716,0.13243787728951928,40.803839999999994,0.6707692328554362,0.7321760348404535
S054,1.0,1.0,0.9,141.3,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7959940338360942,0.7321760348404535
S054,1.0,1.0,1.0,157.0,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7825940639491809,0.7321760348404535
S054,1.0,1.0,1.1,172.70000000000002,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7691306522307259,0.7321760348404535
S054,1.0,1.2,0.9,141.3,0.7779160665607391,0.20663511417978675,32.90496000000001,0.8423139097736623,0.7321760348404535
S054,1.0,1.2,1.0,157.0,0.7779160665607391,0.20663511417978675,32.90496000000001,0.826732695139827,0.7321760348404535
S054,1.0,1.2,1.1,172.70000000000002,0.7779160665607391,0.20663511417978675,32.90496000000001,0.8115519517047198,0.7321760348404535
S054,1.1,0.8,0.9,141.3,0.7037188296704716,0.13243787728951928,40.803839999999994,0.691632315991982,0.7321760348404535
S054,1.1,0.8,1.0,157.0,0.7037188296704716,0.13243787728951928,40.803839999999994,0.6813580366208234,0.7321760348404535
S054,1.1,0.8,1.1,172.70000000000002,0.7037188296704716,0.13243787728951928,40.803839999999994,0.6707692328554362,0.7321760348404535
S054,1.1,1.0,0.9,141.3,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7959940338360942,0.7321760348404535
S054,1.1,1.0,1.0,157.0,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7825940639491809,0.7321760348404535
S054,1.1,1.0,1.1,172.70000000000002,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7691306522307259,0.7321760348404535
S054,1.1,1.2,0.9,141.3,0.7779160665607391,0.20663511417978675,32.90496000000001,0.8423139097736623,0.7321760348404535
S054,1.1,1.2,1.0,157.0,0.7779160665607391,0.20663511417978675,32.90496000000001,0.826732695139827,0.7321760348404535
S054,1.1,1.2,1.1,172.70000000000002,0.7779160665607391,0.20663511417978675,32.90496000000001,0.8115519517047198,0.7321760348404535
S054,1.2,0.8,0.9,141.3,0.7037188296704716,0.13243787728951928,40.803839999999994,0.691632315991982,0.7321760348404535
S054,1.2,0.8,1.0,157.0,0.7037188296704716,0.13243787728951928,40.803839999999994,0.6813580366208234,0.7321760348404535
S054,1.2,0.8,1.1,172.70000000000002,0.7037188296704716,0.13243787728951928,40.803839999999994,0.6707692328554362,0.7321760348404535
S054,1.2,1.0,0.9,141.3,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7959940338360942,0.7321760348404535
S054,1.2,1.0,1.0,157.0,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7825940639491809,0.7321760348404535
S054,1.2,1.0,1.1,172.70000000000002,0.7393115094926859,0.16803055711173354,36.720000000000006,0.7691306522307259,0.7321760348404535
S054,1.2,1.2,0.9,141.3,0.7779160665607391,0.20663511417978675,32.90496000000001,0.8423139097736623,0.7321760348404535
S054,1.2,1.2,1.0,157.0,0.7779160665607391,0.20663511417978675,32.90496000000001,0.826732695139827,0.7321760348404535
S054,1.2,1.2,1.1,172.70000000000002,0.7779160665607391,0.20663511417978675,32.90496000000001,0.8115519517047198,0.7321760348404535
S053,0.9,0.8,0.9,132.3,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6707580385536533,0.719828949986397
S053,0.9,0.8,1.0,147.0,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6619047195704076,0.719828949986397
S053,0.9,0.8,1.1,161.70000000000002,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6527365158916567,0.719828949986397
S053,0.9,1.0,0.9,132.3,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7847324939480783,0.719828949986397
S053,0.9,1.0,1.0,147.0,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7732428641587857,0.719828949986397
S053,0.9,1.0,1.1,161.70000000000002,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7615303089828542,0.719828949986397
S053,0.9,1.2,0.9,132.3,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8488025305335176,0.719828949986397
S053,0.9,1.2,1.0,147.0,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8339097593103927,0.719828949986397
S053,0.9,1.2,1.1,161.70000000000002,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8193547869279145,0.719828949986397
S053,1.0,0.8,0.9,132.3,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6707580385536533,0.719828949986397
S053,1.0,0.8,1.0,147.0,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6619047195704076,0.719828949986397
S053,1.0,0.8,1.1,161.70000000000002,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6527365158916567,0.719828949986397
S053,1.0,1.0,0.9,132.3,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7847324939480783,0.719828949986397
S053,1.0,1.0,1.0,147.0,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7732428641587857,0.719828949986397
S053,1.0,1.0,1.1,161.70000000000002,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7615303089828542,0.719828949986397
S053,1.0,1.2,0.9,132.3,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8488025305335176,0.719828949986397
S053,1.0,1.2,1.0,147.0,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8339097593103927,0.719828949986397
S053,1.0,1.2,1.1,161.70000000000002,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8193547869279145,0.719828949986397
S053,1.1,0.8,0.9,132.3,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6707580385536533,0.719828949986397
S053,1.1,0.8,1.0,147.0,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6619047195704076,0.719828949986397
S053,1.1,0.8,1.1,161.70000000000002,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6527365158916567,0.719828949986397
S053,1.1,1.0,0.9,132.3,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7847324939480783,0.719828949986397
S053,1.1,1.0,1.0,147.0,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7732428641587857,0.719828949986397
S053,1.1,1.0,1.1,161.70000000000002,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7615303089828542,0.719828949986397
S053,1.1,1.2,0.9,132.3,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8488025305335176,0.719828949986397
S053,1.1,1.2,1.0,147.0,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8339097593103927,0.719828949986397
S053,1.1,1.2,1.1,161.70000000000002,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8193547869279145,0.719828949986397
S053,1.2,0.8,0.9,132.3,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6707580385536533,0.719828949986397
S053,1.2,0.8,1.0,147.0,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6619047195704076,0.719828949986397
S053,1.2,0.8,1.1,161.70000000000002,0.6929188296704716,0.12163787728951925,40.803839999999994,0.6527365158916567,0.719828949986397
S053,1.2,1.0,0.9,132.3,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7847324939480783,0.719828949986397
S053,1.2,1.0,1.0,147.0,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7732428641587857,0.719828949986397
S053,1.2,1.0,1.1,161.70000000000002,0.7303115094926859,0.15903055711173353,36.720000000000006,0.7615303089828542,0.719828949986397
S053,1.2,1.2,0.9,132.3,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8488025305335176,0.719828949986397
S053,1.2,1.2,1.0,147.0,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8339097593103927,0.719828949986397
S053,1.2,1.2,1.1,161.70000000000002,0.7716160665607391,0.20033511417978678,32.90496000000001,0.8193547869279145,0.719828949986397
S063,0.9,0.8,0.9,114.3,0.6978398590951532,0.1265589067142009,44.352,0.6586155579794453,0.7137159997486362
S063,0.9,0.8,1.0,127.0,0.6978398590951532,0.1265589067142009,44.352,0.6513201527280236,0.7137159997486362
S063,0.9,0.8,1.1,139.70000000000002,0.6978398590951532,0.1265589067142009,44.352,0.6437303885459739,0.7137159997486362
S063,0.9,1.0,0.9,114.3,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7741901240497788,0.7137159997486362
S063,0.9,1.0,1.0,127.0,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7649198202137806,0.7137159997486362
S063,0.9,1.0,1.1,139.70000000000002,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7553204705174865,0.7137159997486362
S063,0.9,1.2,0.9,114.3,0.7671057429690549,0.19582479058810254,37.392,0.8621964921170158,0.7137159997486362
S063,0.9,1.2,1.0,127.0,0.7671057429690549,0.19582479058810254,37.392,0.8490651897879761,0.7137159997486362
S063,0.9,1.2,1.1,139.70000000000002,0.7671057429690549,0.19582479058810254,37.392,0.8361224527956491,0.7137159997486362
S063,1.0,0.8,0.9,114.3,0.6978398590951532,0.1265589067142009,44.352,0.6586155579794453,0.7137159997486362
S063,1.0,0.8,1.0,127.0,0.6978398590951532,0.1265589067142009,44.352,0.6513201527280236,0.7137159997486362
S063,1.0,0.8,1.1,139.70000000000002,0.6978398590951532,0.1265589067142009,44.352,0.6437303885459739,0.7137159997486362
S063,1.0,1.0,0.9,114.3,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7741901240497788,0.7137159997486362
S063,1.0,1.0,1.0,127.0,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7649198202137806,0.7137159997486362
S063,1.0,1.0,1.1,139.70000000000002,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7553204705174865,0.7137159997486362
S063,1.0,1.2,0.9,114.3,0.7671057429690549,0.19582479058810254,37.392,0.8621964921170158,0.7137159997486362
S063,1.0,1.2,1.0,127.0,0.7671057429690549,0.19582479058810254,37.392,0.8490651897879761,0.7137159997486362
S063,1.0,1.2,1.1,139.70000000000002,0.7671057429690549,0.19582479058810254,37.392,0.8361224527956491,0.7137159997486362
S063,1.1,0.8,0.9,114.3,0.6978398590951532,0.1265589067142009,44.352,0.6586155579794453,0.7137159997486362
S063,1.1,0.8,1.0,127.0,0.6978398590951532,0.1265589067142009,44.352,0.6513201527280236,0.7137159997486362
S063,1.1,0.8,1.1,139.70000000000002,0.6978398590951532,0.1265589067142009,44.352,0.6437303885459739,0.7137159997486362
S063,1.1,1.0,0.9,114.3,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7741901240497788,0.7137159997486362
S063,1.1,1.0,1.0,127.0,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7649198202137806,0.7137159997486362
S063,1.1,1.0,1.1,139.70000000000002,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7553204705174865,0.7137159997486362
S063,1.1,1.2,0.9,114.3,0.7671057429690549,0.19582479058810254,37.392,0.8621964921170158,0.7137159997486362
S063,1.1,1.2,1.0,127.0,0.7671057429690549,0.19582479058810254,37.392,0.8490651897879761,0.7137159997486362
S063,1.1,1.2,1.1,139.70000000000002,0.7671057429690549,0.19582479058810254,37.392,0.8361224527956491,0.7137159997486362
S063,1.2,0.8,0.9,114.3,0.6978398590951532,0.1265589067142009,44.352,0.6586155579794453,0.7137159997486362
S063,1.2,0.8,1.0,127.0,0.6978398590951532,0.1265589067142009,44.352,0.6513201527280236,0.7137159997486362
S063,1.2,0.8,1.1,139.70000000000002,0.6978398590951532,0.1265589067142009,44.352,0.6437303885459739,0.7137159997486362
S063,1.2,1.0,0.9,114.3,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7741901240497788,0.7137159997486362
S063,1.2,1.0,1.0,127.0,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7649198202137806,0.7137159997486362
S063,1.2,1.0,1.1,139.70000000000002,0.7308725490196079,0.15959159663865552,40.800000000000004,0.7553204705174865,0.7137159997486362
S063,1.2,1.2,0.9,114.3,0.7671057429690549,0.19582479058810254,37.392,0.8621964921170158,0.7137159997486362
S063,1.2,1.2,1.0,127.0,0.7671057429690549,0.19582479058810254,37.392,0.8490651897879761,0.7137159997486362
S063,1.2,1.2,1.1,139.70000000000002,0.7671057429690549,0.19582479058810254,37.392,0.8361224527956491,0.7137159997486362
